,name,works,prompt copy,,名前,作品,
1girl,helel ben shalem,granblue fantasy,"(1girl,helel ben shalem,granblue fantasy),",,ヘレル・ベン・シャレム,グランブルーファンタジー,
1girl,heles,granblue fantasy,"(1girl,heles,granblue fantasy),",,ヘレス,グランブルーファンタジー,
1girl,heles \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,heles \(summer\) \(granblue fantasy\),granblue fantasy),",,ヘレス \(夏\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,huang \(granblue fantasy\),granblue fantasy,"(1girl,huang \(granblue fantasy\),granblue fantasy),",,黄 \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,ilsa \(granblue fantasy\),granblue fantasy,"(1girl,ilsa \(granblue fantasy\),granblue fantasy),",,イルザ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,io \(granblue fantasy\),granblue fantasy,"(1girl,io \(granblue fantasy\),granblue fantasy),",,イオ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,izmir,granblue fantasy,"(1girl,izmir,granblue fantasy),",,イズミル,グランブルーファンタジー,
1girl,jeanne d'arc \(granblue fantasy\),granblue fantasy,"(1girl,jeanne d'arc \(granblue fantasy\),granblue fantasy),",,ジャンヌ・ダルク「グランブルーファンタジー」,グランブルーファンタジー,
1girl,jeanne d'arc \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,jeanne d'arc \(summer\) \(granblue fantasy\),granblue fantasy),",,ジャンヌ・ダルク \(夏\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,jessica \(granblue fantasy\),granblue fantasy,"(1girl,jessica \(granblue fantasy\),granblue fantasy),",,ジェシカ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,katalina \(granblue fantasy\),granblue fantasy,"(1girl,katalina \(granblue fantasy\),granblue fantasy),",,カタリナ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,korwa,granblue fantasy,"(1girl,korwa,granblue fantasy),",,コルワ,グランブルーファンタジー,
1boy,kou \(granblue fantasy\),granblue fantasy,"(1boy,kou \(granblue fantasy\),granblue fantasy),",,コウ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,kumbhira \(granblue fantasy\),granblue fantasy,"(1girl,kumbhira \(granblue fantasy\),granblue fantasy),",,クンビラ \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,lancelot \(granblue fantasy\),granblue fantasy,"(1boy,lancelot \(granblue fantasy\),granblue fantasy),",,ランスロット \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,lecia \(granblue fantasy\),granblue fantasy,"(1girl,lecia \(granblue fantasy\),granblue fantasy),",,リーシア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,lich \(granblue fantasy\),granblue fantasy,"(1girl,lich \(granblue fantasy\),granblue fantasy),",,リッチ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,lily \(granblue fantasy\),granblue fantasy,"(1girl,lily \(granblue fantasy\),granblue fantasy),",,リリィ\(グランブルーファンタジー\),グランブルーファンタジー,
1boy,lucifer \(shingeki no bahamut\),granblue fantasy,"(1boy,lucifer \(shingeki no bahamut\),granblue fantasy),",,ルシファー「神撃のバハムート」,グランブルーファンタジー,
1girl,lunalu \(granblue fantasy\),granblue fantasy,"(1girl,lunalu \(granblue fantasy\),granblue fantasy),",,ルナル \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,lyria \(granblue fantasy\),granblue fantasy,"(1girl,lyria \(granblue fantasy\),granblue fantasy),",,リリア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,magisa \(granblue fantasy\),granblue fantasy,"(1girl,magisa \(granblue fantasy\),granblue fantasy),",,マギサ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,mahira \(granblue fantasy\),granblue fantasy,"(1girl,mahira \(granblue fantasy\),granblue fantasy),",,マヒラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,medusa \(shingeki no bahamut\),granblue fantasy,"(1girl,medusa \(shingeki no bahamut\),granblue fantasy),",,メデューサ \(神撃のバハムート\),グランブルーファンタジー,
1girl,melissabelle,granblue fantasy,"(1girl,melissabelle,granblue fantasy),",,メリッサベル,グランブルーファンタジー,
1girl,metera \(granblue fantasy\),granblue fantasy,"(1girl,metera \(granblue fantasy\),granblue fantasy),",,メーテラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,monika weisswind,granblue fantasy,"(1girl,monika weisswind,granblue fantasy),",,モニカ・ヴァイスヴィント,グランブルーファンタジー,
1girl,narmaya \(granblue fantasy\),granblue fantasy,"(1girl,narmaya \(granblue fantasy\),granblue fantasy),",,ナルメア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,narmaya \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,narmaya \(summer\) \(granblue fantasy\),granblue fantasy),",,ナルメア \(夏\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,nemone,granblue fantasy,"(1girl,nemone,granblue fantasy),",,ネモネ,グランブルーファンタジー,
1girl,nicola \(granblue fantasy\),granblue fantasy,"(1girl,nicola \(granblue fantasy\),granblue fantasy),",,ニコラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,nier \(granblue fantasy\),granblue fantasy,"(1girl,nier \(granblue fantasy\),granblue fantasy),",,ニーア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,niyon \(granblue fantasy\),granblue fantasy,"(1girl,niyon \(granblue fantasy\),granblue fantasy),",,によん \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,noa \(granblue fantasy\),granblue fantasy,"(1boy,noa \(granblue fantasy\),granblue fantasy),",,ノア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,ogre \(granblue fantasy\),granblue fantasy,"(1girl,ogre \(granblue fantasy\),granblue fantasy),",,オーガ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,orchis,granblue fantasy,"(1girl,orchis,granblue fantasy),",,蘭,グランブルーファンタジー,
1girl,ouroboros \(granblue fantasy\),granblue fantasy,"(1girl,ouroboros \(granblue fantasy\),granblue fantasy),",,ウロボロス(グランブルーファンタジー),グランブルーファンタジー,
1girl,payila \(granblue fantasy\),granblue fantasy,"(1girl,payila \(granblue fantasy\),granblue fantasy),",,ペイラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,pengy \(granblue fantasy\),granblue fantasy,"(1girl,pengy \(granblue fantasy\),granblue fantasy),",,ペンギー \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,percival \(granblue fantasy\),granblue fantasy,"(1boy,percival \(granblue fantasy\),granblue fantasy),",,パーシヴァル「グランブルーファンタジー」,グランブルーファンタジー,
1girl,pholia,granblue fantasy,"(1girl,pholia,granblue fantasy),",,恐怖症,グランブルーファンタジー,
1boy,rackam \(granblue fantasy\),granblue fantasy,"(1boy,rackam \(granblue fantasy\),granblue fantasy),",,ラカム \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,razia,granblue fantasy,"(1girl,razia,granblue fantasy),",,ラジア,グランブルーファンタジー,
1boy,reinhardtzar,granblue fantasy,"(1boy,reinhardtzar,granblue fantasy),",,ラインハルツァル,グランブルーファンタジー,
1girl,rosetta \(granblue fantasy\),granblue fantasy,"(1girl,rosetta \(granblue fantasy\),granblue fantasy),",,ロゼッタ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,sage \(granblue fantasy\),granblue fantasy,"(1girl,sage \(granblue fantasy\),granblue fantasy),",,セージ \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,sandalphon \(granblue fantasy\),granblue fantasy,"(1boy,sandalphon \(granblue fantasy\),granblue fantasy),",,サンダルフォン「グランブルーファンタジー」,グランブルーファンタジー,
1girl,sara \(granblue fantasy\),granblue fantasy,"(1girl,sara \(granblue fantasy\),granblue fantasy),",,サラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,satyr \(granblue fantasy\),granblue fantasy,"(1girl,satyr \(granblue fantasy\),granblue fantasy),",,サテュロス \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,scathacha \(granblue fantasy\),granblue fantasy,"(1girl,scathacha \(granblue fantasy\),granblue fantasy),",,スカサハ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,sen \(granblue fantasy\),granblue fantasy,"(1girl,sen \(granblue fantasy\),granblue fantasy),",,セン \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,seofon \(granblue fantasy\),granblue fantasy,"(1boy,seofon \(granblue fantasy\),granblue fantasy),",,ソフォン \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,seox \(granblue fantasy\),granblue fantasy,"(1boy,seox \(granblue fantasy\),granblue fantasy),",,セックス \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,siegfried \(granblue fantasy\),granblue fantasy,"(1boy,siegfried \(granblue fantasy\),granblue fantasy),",,ジークフリート \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,silva \(granblue fantasy\),granblue fantasy,"(1girl,silva \(granblue fantasy\),granblue fantasy),",,シルバ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,societte \(granblue fantasy\),granblue fantasy,"(1girl,societte \(granblue fantasy\),granblue fantasy),",,ソシエット \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,sophia \(granblue fantasy\),granblue fantasy,"(1girl,sophia \(granblue fantasy\),granblue fantasy),",,ソフィア \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,soriz,granblue fantasy,"(1boy,soriz,granblue fantasy),",,ソリツ,グランブルーファンタジー,
1girl,sturm \(granblue fantasy\),granblue fantasy,"(1girl,sturm \(granblue fantasy\),granblue fantasy),",,スツルム \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,sutera \(granblue fantasy\),granblue fantasy,"(1girl,sutera \(granblue fantasy\),granblue fantasy),",,ステラ \(グランブルーファンタジー),グランブルーファンタジー,
1girl,threo \(granblue fantasy\),granblue fantasy,"(1girl,threo \(granblue fantasy\),granblue fantasy),",,スレオ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,tien \(granblue fantasy\),granblue fantasy,"(1girl,tien \(granblue fantasy\),granblue fantasy),",,ティエン \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,tikoh,granblue fantasy,"(1girl,tikoh,granblue fantasy),",,ティコ,グランブルーファンタジー,
1girl,tweyen \(eternal's summer vacation\) \(granblue fantasy\),granblue fantasy,"(1girl,tweyen \(eternal's summer vacation\) \(granblue fantasy\),granblue fantasy),",,トゥイエン \(永遠の夏休み\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,tweyen \(granblue fantasy\),granblue fantasy,"(1girl,tweyen \(granblue fantasy\),granblue fantasy),",,トゥイエン \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vajra \(granblue fantasy\),granblue fantasy,"(1girl,vajra \(granblue fantasy\),granblue fantasy),",,ヴァジュラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vampy,granblue fantasy,"(1girl,vampy,granblue fantasy),",,ヴァンピー,グランブルーファンタジー,
1boy,vane \(granblue fantasy\),granblue fantasy,"(1boy,vane \(granblue fantasy\),granblue fantasy),",,ヴェイン \(グランブルーファンタジー\),グランブルーファンタジー,
1boy,vaseraga,granblue fantasy,"(1boy,vaseraga,granblue fantasy),",,バセラガ,グランブルーファンタジー,
1girl,vikala \(blooming summer wallflower\) \(granblue fantasy\),granblue fantasy,"(1girl,vikala \(blooming summer wallflower\) \(granblue fantasy\),granblue fantasy),",,ヴィカラ \(咲く夏の壁の花\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vikala \(granblue fantasy\),granblue fantasy,"(1girl,vikala \(granblue fantasy\),granblue fantasy),",,ヴィカラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vira \(granblue fantasy\),granblue fantasy,"(1girl,vira \(granblue fantasy\),granblue fantasy),",,ヴィラ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vira \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,vira \(summer\) \(granblue fantasy\),granblue fantasy),",,ヴィラ \(夏\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,vyrn \(granblue fantasy\),granblue fantasy,"(1girl,vyrn \(granblue fantasy\),granblue fantasy),",,ヴィルン \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,wamdus \(granblue fantasy\),granblue fantasy,"(1girl,wamdus \(granblue fantasy\),granblue fantasy),",,ワムダス \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,warlock \(granblue fantasy\),granblue fantasy,"(1girl,warlock \(granblue fantasy\),granblue fantasy),",,ウォーロック \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,yaia \(granblue fantasy\),granblue fantasy,"(1girl,yaia \(granblue fantasy\),granblue fantasy),",,ヤイア \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,yggdrasil \(granblue fantasy\),granblue fantasy,"(1girl,yggdrasil \(granblue fantasy\),granblue fantasy),",,ユグドラシル \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,yuel \(granblue fantasy\),granblue fantasy,"(1girl,yuel \(granblue fantasy\),granblue fantasy),",,ユエル \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,yuisis \(granblue fantasy\),granblue fantasy,"(1girl,yuisis \(granblue fantasy\),granblue fantasy),",,ユイシス \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,zeta \(granblue fantasy\),granblue fantasy,"(1girl,zeta \(granblue fantasy\),granblue fantasy),",,ゼタ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,zeta \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,zeta \(summer\) \(granblue fantasy\),granblue fantasy),",,ゼタ \(夏\) \(グランブルーファンタジー),グランブルーファンタジー,
1girl,zooey \(granblue fantasy\),granblue fantasy,"(1girl,zooey \(granblue fantasy\),granblue fantasy),",,ズーイ \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,zooey \(summer\) \(granblue fantasy\),granblue fantasy,"(1girl,zooey \(summer\) \(granblue fantasy\),granblue fantasy),",,ズーイー \(夏\) \(グランブルーファンタジー\),グランブルーファンタジー,
1girl,anosillus ii,gridman universe,"(1girl,anosillus ii,gridman universe),",,アノシルスⅡ,グリッドマンユニバース,
1boy,anti \(ssss.gridman\),gridman universe,"(1boy,anti \(ssss.gridman\),gridman universe),",,アンチ \(ssss.gridman\),グリッドマンユニバース,
1boy,asanaka yomogi,gridman universe,"(1boy,asanaka yomogi,gridman universe),",,朝中よもぎ,グリッドマンユニバース,
1girl,asukagawa chise,gridman universe,"(1girl,asukagawa chise,gridman universe),",,飛鳥川ちせ,グリッドマンユニバース,
1girl,gridman \(ssss\),gridman universe,"(1girl,gridman \(ssss\),gridman universe),",,グリッドマン \(ssss\),グリッドマンユニバース,
1girl,hassu,gridman universe,"(1girl,hassu,gridman universe),",,はっす,グリッドマンユニバース,
1boy,hibiki yuuta,gridman universe,"(1boy,hibiki yuuta,gridman universe),",,響裕太,グリッドマンユニバース,
1girl,minami yume,gridman universe,"(1girl,minami yume,gridman universe),",,南夢,グリッドマンユニバース,
1girl,mujina,gridman universe,"(1girl,mujina,gridman universe),",,ムジナ,グリッドマンユニバース,
1girl,shinjou akane,gridman universe,"(1girl,shinjou akane,gridman universe),",,新条アカネ,グリッドマンユニバース,
1girl,takarada rikka,gridman universe,"(1girl,takarada rikka,gridman universe),",,宝多六花,グリッドマンユニバース,
1boy,utsumi shou,gridman universe,"(1boy,utsumi shou,gridman universe),",,内海翔,グリッドマンユニバース,
1girl,akiyama mio,k-on!,"(1girl,akiyama mio,k-on!),",,秋山澪,けいおん！,
1girl,hirasawa ui,k-on!,"(1girl,hirasawa ui,k-on!),",,平沢憂,けいおん！,
1girl,hirasawa yui,k-on!,"(1girl,hirasawa yui,k-on!),",,平沢唯,けいおん！,
1girl,kinoshita shizuka,k-on!,"(1girl,kinoshita shizuka,k-on!),",,木下静香,けいおん！,
1girl,kotobuki tsumugi,k-on!,"(1girl,kotobuki tsumugi,k-on!),",,寿つむぎ,けいおん！,
1girl,manabe nodoka,k-on!,"(1girl,manabe nodoka,k-on!),",,真鍋のどか,けいおん！,
1girl,nakano azusa,k-on!,"(1girl,nakano azusa,k-on!),",,中野あずさ,けいおん！,
1girl,suzuki jun,k-on!,"(1girl,suzuki jun,k-on!),",,鈴木潤,けいおん！,
1girl,tachibana himeko,k-on!,"(1girl,tachibana himeko,k-on!),",,橘姫子,けいおん！,
1girl,tainaka ritsu,k-on!,"(1girl,tainaka ritsu,k-on!),",,田井中律,けいおん！,
1girl,wakaouji ichigo,k-on!,"(1girl,wakaouji ichigo,k-on!),",,若王子いちご,けいおん！,
1girl,yamanaka sawako,k-on!,"(1girl,yamanaka sawako,k-on!),",,山中佐和子,けいおん！,
1girl,african penguin \(kemono friends\),kemono friends,"(1girl,african penguin \(kemono friends\),kemono friends),",,アフリカペンギン \(けものフレンズ\),けものフレンズ,
1girl,brown long-eared bat \(kemono friends\),kemono friends,"(1girl,brown long-eared bat \(kemono friends\),kemono friends),",,茶色の長い耳のコウモリ\(けものフレンズ\),けものフレンズ,
1girl,caracal \(kemono friends\),kemono friends,"(1girl,caracal \(kemono friends\),kemono friends),",,カラカル \(けものフレンズ\),けものフレンズ,
1girl,coyopotato,kemono friends,"(1girl,coyopotato,kemono friends),",,コヨポテト,けものフレンズ,
1girl,coyote \(kemono friends\),kemono friends,"(1girl,coyote \(kemono friends\),kemono friends),",,コヨーテ\(けものフレンズ\),けものフレンズ,
1girl,dire wolf \(kemono friends\),kemono friends,"(1girl,dire wolf \(kemono friends\),kemono friends),",,ダイアウルフ\(けものフレンズ\),けものフレンズ,
1girl,geoffroy's cat \(kemono friends\),kemono friends,"(1girl,geoffroy's cat \(kemono friends\),kemono friends),",,ジェフロイの猫 \(けものフレンズ\),けものフレンズ,
1girl,humboldt penguin \(kemono friends\),kemono friends,"(1girl,humboldt penguin \(kemono friends\),kemono friends),",,フンボルトペンギン \(けものフレンズ\),けものフレンズ,
1girl,island fox \(kemono friends\),kemono friends,"(1girl,island fox \(kemono friends\),kemono friends),",,島キツネ \(けものフレンズ\),けものフレンズ,
1girl,jungle cat \(kemono friends\),kemono friends,"(1girl,jungle cat \(kemono friends\),kemono friends),",,ジャングルキャット\(けものフレンズ\),けものフレンズ,
1girl,kaban \(kemono friends\),kemono friends,"(1girl,kaban \(kemono friends\),kemono friends),",,かばん「けものフレンズ」,けものフレンズ,
1girl,large-spotted genet \(kemono friends\),kemono friends,"(1girl,large-spotted genet \(kemono friends\),kemono friends),",,オオマダラジェネット \(けものフレンズ\),けものフレンズ,
1girl,serval \(kemono friends\),kemono friends,"(1girl,serval \(kemono friends\),kemono friends),",,サーバル \(けものフレンズ\),けものフレンズ,
1girl,siberian chipmunk \(kemono friends\),kemono friends,"(1girl,siberian chipmunk \(kemono friends\),kemono friends),",,シベリアシマリス \(けものフレンズ\),けものフレンズ,
1girl,mikoko \(kemomimi oukoku kokuei housou\),kemomimi oukoku kokuei housou,"(1girl,mikoko \(kemomimi oukoku kokuei housou\),kemomimi oukoku kokuei housou),",,ミココ \(ケモミミ王国 国営放送\),ケモミミ王国 国営放送,
1girl,anya alstreim,code geass,"(1girl,anya alstreim,code geass),",,アーニャ・アルストレイム,コードギアス,
1girl,c.c.,code geass,"(1girl,c.c.,code geass),",,cc,コードギアス,
1girl,cecile croomy,code geass,"(1girl,cecile croomy,code geass),",,セシル・クルーミー,コードギアス,
1boy,charles zi britannia,code geass,"(1boy,charles zi britannia,code geass),",,チャールズ・ジ・ブリタニア,コードギアス,
1girl,cheese-kun,code geass,"(1girl,cheese-kun,code geass),",,チーズくん,コードギアス,
1girl,cornelia li britannia,code geass,"(1girl,cornelia li britannia,code geass),",,コーネリア・リ・ブリタニア,コードギアス,
1girl,euphemia li britannia,code geass,"(1girl,euphemia li britannia,code geass),",,ユーフェミア・リ・ブリタニア,コードギアス,
1boy,gino weinberg,code geass,"(1boy,gino weinberg,code geass),",,ジーノ・ワインバーグ,コードギアス,
1boy,jeremiah gottwald,code geass,"(1boy,jeremiah gottwald,code geass),",,ジェレマイア・ゴットヴァルト,コードギアス,
1girl,kallen stadtfeld,code geass,"(1girl,kallen stadtfeld,code geass),",,カレン・シュタットフェルト,コードギアス,
1boy,kururugi suzaku,code geass,"(1boy,kururugi suzaku,code geass),",,枢木スザク,コードギアス,
1girl,leila malcal,code geass,"(1girl,leila malcal,code geass),",,レイラ・マルカル,コードギアス,
1boy,lelouch vi britannia,code geass,"(1boy,lelouch vi britannia,code geass),",,ルルーシュ・ヴィ・ブリタニア,コードギアス,
1girl,li xingke,code geass,"(1girl,li xingke,code geass),",,李興科,コードギアス,
1girl,luluko,code geass,"(1girl,luluko,code geass),",,ルルコ,コードギアス,
1girl,milly ashford,code geass,"(1girl,milly ashford,code geass),",,ミリー・アシュフォード,コードギアス,
1girl,monica kruszewski,code geass,"(1girl,monica kruszewski,code geass),",,モニカ・クルシェフスキー,コードギアス,
1girl,nina einstein,code geass,"(1girl,nina einstein,code geass),",,ニーナ・アインシュタイン,コードギアス,
1girl,nunnally vi britannia,code geass,"(1girl,nunnally vi britannia,code geass),",,ナナリー・ヴィ・ブリタニア,コードギアス,
1boy,rolo lamperouge,code geass,"(1boy,rolo lamperouge,code geass),",,ロロ・ランペルージ,コードギアス,
1girl,shinozaki sayoko,code geass,"(1girl,shinozaki sayoko,code geass),",,篠崎沙代子,コードギアス,
1girl,shirley fenette,code geass,"(1girl,shirley fenette,code geass),",,シャーリー・フェネット,コードギアス,
1girl,sumeragi kaguya,code geass,"(1girl,sumeragi kaguya,code geass),",,スメラギカグヤ,コードギアス,
1girl,tianzi,code geass,"(1girl,tianzi,code geass),",,天子,コードギアス,
1girl,villetta nu,code geass,"(1girl,villetta nu,code geass),",,ヴィレッタ・ヌ,コードギアス,
1girl,zero \(code geass\),code geass,"(1girl,zero \(code geass\),code geass),",,ゼロ \(コードギアス\),コードギアス,
1girl,anko \(gochiusa\),gochuumon wa usagi desu ka?,"(1girl,anko \(gochiusa\),gochuumon wa usagi desu ka?),",,あんこ\(ごちうさ\),ご注文はうさぎですか?,
1girl,aoyama blue mountain,gochuumon wa usagi desu ka?,"(1girl,aoyama blue mountain,gochuumon wa usagi desu ka?),",,青山ブルーマウンテン,ご注文はうさぎですか?,
1girl,fuiba fuyu,gochuumon wa usagi desu ka?,"(1girl,fuiba fuyu,gochuumon wa usagi desu ka?),",,風衣葉冬優,ご注文はうさぎですか?,
1girl,hoto cocoa,gochuumon wa usagi desu ka?,"(1girl,hoto cocoa,gochuumon wa usagi desu ka?),",,保登心愛,ご注文はうさぎですか?,
1girl,hoto mocha,gochuumon wa usagi desu ka?,"(1girl,hoto mocha,gochuumon wa usagi desu ka?),",,保登モカ,ご注文はうさぎですか?,
1girl,jouga maya,gochuumon wa usagi desu ka?,"(1girl,jouga maya,gochuumon wa usagi desu ka?),",,条河麻耶,ご注文はうさぎですか?,
1girl,kafuu chino,gochuumon wa usagi desu ka?,"(1girl,kafuu chino,gochuumon wa usagi desu ka?),",,香風智乃,ご注文はうさぎですか?,
1girl,kirima syaro,gochuumon wa usagi desu ka?,"(1girl,kirima syaro,gochuumon wa usagi desu ka?),",,桐間紗路,ご注文はうさぎですか?,
1girl,minase inori,gochuumon wa usagi desu ka?,"(1girl,minase inori,gochuumon wa usagi desu ka?),",,水瀬いのり,ご注文はうさぎですか?,
1girl,natsu megumi,gochuumon wa usagi desu ka?,"(1girl,natsu megumi,gochuumon wa usagi desu ka?),",,奈津恵,ご注文はうさぎですか?,
1girl,tedeza rize,gochuumon wa usagi desu ka?,"(1girl,tedeza rize,gochuumon wa usagi desu ka?),",,天々座理世,ご注文はうさぎですか?,
1girl,tippy \(gochiusa\),gochuumon wa usagi desu ka?,"(1girl,tippy \(gochiusa\),gochuumon wa usagi desu ka?),",,ティッピー \(ごちうさ\),ご注文はうさぎですか?,
1girl,ujimatsu chiya,gochuumon wa usagi desu ka?,"(1girl,ujimatsu chiya,gochuumon wa usagi desu ka?),",,宇治松千夜,ご注文はうさぎですか?,
1girl,wild geese,gochuumon wa usagi desu ka?,"(1girl,wild geese,gochuumon wa usagi desu ka?),",,ワイルドギース,ご注文はうさぎですか?,
1girl,aqua \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,aqua \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,アクア \(このすば\),この素晴らしい世界に祝福を!,
1girl,aqua \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,aqua \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,アクア \(このすば\),この素晴らしい世界に祝福を!,
1girl,chomusuke,kono subarashii sekai ni shukufuku wo!,"(1girl,chomusuke,kono subarashii sekai ni shukufuku wo!),",,ちょむすけ,この素晴らしい世界に祝福を!,
1girl,chris \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,chris \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,クリス \(このすば\),この素晴らしい世界に祝福を!,
1girl,darkness \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,darkness \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,ダクネス\(このすば\),この素晴らしい世界に祝福を!,
1girl,eris \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,eris \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,エリス\(このすば\),この素晴らしい世界に祝福を!,
1girl,iris \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,iris \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,アイリス\(このすば\),この素晴らしい世界に祝福を!,
1girl,komekko,kono subarashii sekai ni shukufuku wo!,"(1girl,komekko,kono subarashii sekai ni shukufuku wo!),",,こめっこ,この素晴らしい世界に祝福を!,
1girl,luna \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,luna \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,ルナ \(このすば\),この素晴らしい世界に祝福を!,
1girl,megumin,kono subarashii sekai ni shukufuku wo!,"(1girl,megumin,kono subarashii sekai ni shukufuku wo!),",,めぐみん,この素晴らしい世界に祝福を!,
1girl,megumin,kono subarashii sekai ni shukufuku wo!,"(1girl,megumin,kono subarashii sekai ni shukufuku wo!),",,めぐみん,この素晴らしい世界に祝福を!,
1boy,satou kazuma,kono subarashii sekai ni shukufuku wo!,"(1boy,satou kazuma,kono subarashii sekai ni shukufuku wo!),",,佐藤和真,この素晴らしい世界に祝福を!,
1girl,wiz \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,wiz \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,ウィズ\(このすば\),この素晴らしい世界に祝福を!,
1girl,yunyun \(konosuba\),kono subarashii sekai ni shukufuku wo!,"(1girl,yunyun \(konosuba\),kono subarashii sekai ni shukufuku wo!),",,ゆんゆん \(このすば\),この素晴らしい世界に祝福を!,
1girl,cow girl \(goblin slayer!\),goblin slayer!,"(1girl,cow girl \(goblin slayer!\),goblin slayer!),",,牛飼娘 \(ゴブリンスレイヤー!\),ゴブリンスレイヤー！,
1boy,goblin slayer,goblin slayer!,"(1boy,goblin slayer,goblin slayer!),",,ゴブリンスレイヤー,ゴブリンスレイヤー！,
1girl,guild girl \(goblin slayer!\),goblin slayer!,"(1girl,guild girl \(goblin slayer!\),goblin slayer!),",,ギルドの女の子 \(ゴブリンスレイヤー!\),ゴブリンスレイヤー！,
1girl,high elf archer \(goblin slayer!\),goblin slayer!,"(1girl,high elf archer \(goblin slayer!\),goblin slayer!),",,ハイエルフの射手 \(ゴブリンスレイヤー!\),ゴブリンスレイヤー！,
1girl,priestess \(goblin slayer!\),goblin slayer!,"(1girl,priestess \(goblin slayer!\),goblin slayer!),",,女神官 \(ゴブリンスレイヤー!\),ゴブリンスレイヤー！,
